Station,Latitude,Longitude,Zone,Postcode
Elm Park,51.549125,0.197253,6,RM12 4RW
Elmstead Woods,51.417081,0.044229,4,BR7 5EW
Elstree & Borehamwood,51.652876,-0.279829,6,WD6 3LS
Eltham,51.455662,0.052329,4,SE9 6UB
Elverson Road,51.468372,-0.016816,2,SE8 4LA
Embankment,51.507312,-0.122367,1,WC2N 6NS
Emerson Park,51.569115,0.220223,6,RM11 2JR
Enfield Chase,51.652722,-0.090704,5,EN2 7AA
Enfield Lock,51.670846,-0.028391,6,EN3 6BW
Enfield Town,51.65197,-0.07933,5,EN1 1YB
Epping,51.693686,0.113826,6,CM16 4HW
Epsom Downs,51.323659,-0.23897,6,KT17 4JX
Erith,51.481648,0.174261,6,DA8 1TY
Essex Road,51.540633,-0.096366,2,N1 2SU
Euston LU,51.528664,-0.133296,1,NW1 2DU
Euston NR,51.528664,-0.133296,1,NW1 2DU
Euston Square,51.528664,-0.133296,1,NW1 2BN
Ewell East,51.345244,-0.241503,6,KT17 1QR
Ewell West,51.349991,-0.257089,6,KT17 1TU
Fairlop,51.59611,0.090593,4,IG6 3HD
Falconwood,51.459086,0.07851,4,SE9 2RN
Farringdon,51.520196,-0.104843,1,EC1M 6BY
Feltham,51.447879,-0.409824,6,TW13 4BY
Fenchurch Street,51.511567,-0.078554,1,EC3M 4AJ
Finchley Central,51.600903,-0.193221,4,N3 2RY
Finchley Road,51.547096,-0.180051,2,NW6 3BS
Finchley Road & Frognal,51.55012,-0.183651,2,NW3 5HT
Finsbury Park LU,51.564635,-0.105881,2,N4 3JU
Finsbury Park NR,51.564635,-0.105881,2,N4 3JU
Forest Gate,51.549316,0.024189,3,E7 0QH
Forest Hill,51.439308,-0.053329,3,SE23 3HD
Fulham Broadway,51.480261,-0.195544,2,SW6 1BY
Fulwell,51.433943,-0.349439,6,TW2 5NY
Gallions Reach,51.509034,0.071775,3,E6 6FZ
Gants Hill,51.576553,0.066084,4,IG2 6UD
Gatwick Airport,51.156656,-0.161171,14,RH6 0RD
Gidea Park,51.581866,0.205977,6,RM2 6BX
Gipsy Hill,51.42447,-0.083835,3,SE19 1PL
Gloucester Road,51.4945,-0.183544,1,SW7 4SF
Golders Green,51.572216,-0.194835,3,NW11 7RN
Goldhawk Road,51.502077,-0.227404,2,W12 8EG
Goodge Street,51.520613,-0.134808,1,W1T 2HF
Goodmayes,51.566181,0.11173,4,IG3 9UH
Gordon Hill,51.663502,-0.094473,5,EN2 0QU
Gospel Oak,51.555405,-0.151301,2,NW5 1LT
Grange Hill,51.61348,0.092273,4,IG7 5QB
Grange Park,51.642623,-0.097314,5,N21 1RE
Grays,51.476367,0.321635,10,RM17 6NQ
Great Portland Street,51.523789,-0.143961,1,W1W 5PP
Green Park,51.50676,-0.142478,1,W1J 7BX
Greenford,51.54198,-0.345879,4,UB6 8PR
Greenwich,51.477548,-0.014863,2,SE10 8JQ
Grove Park,51.430433,0.022599,4,SE12 0PW
Gunnersbury,51.491863,-0.275164,3,W4 5RP
Hackbridge,51.377861,-0.153879,4,SM6 7BJ
Hackney Central,51.547257,-0.05559,2,E8 1LL
Hackney Downs,51.549078,-0.060185,2,E8 1LA
Hackney Wick,51.543558,-0.02526,2,E9 5ER
Hadley Wood,51.668403,-0.176581,6,EN4 0EJ
Haggerston,51.538685,-0.075595,2,E8 4DY
Hainault,51.602845,0.094109,4,IG6 3BD
Hammersmith (DIS),51.49182,-0.222861,2,W6 9YA
